"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC","INDEP","DENS_MEASURED","INFOCONT_A_FRCM"
"70",35,2,1,50,64,82,50,50,50,TRUE,0.75,1.53
"71",36,1,1,50,64,32,50,50,50,TRUE,0.75,1.53
"72",36,2,1,50,37,69,50,50,50,TRUE,0.75,1.53
"73",37,1,1,50,45,23,50,50,50,TRUE,0.75,1.53
"74",37,2,1,50,56,78,50,50,50,TRUE,0.75,1.53
"75",38,1,1,50,44,22,50,50,50,TRUE,0.75,1.53
"76",38,2,1,50,57,79,50,50,50,TRUE,0.75,1.53
"77",39,1,1,50,85,8,50,50,50,TRUE,0.75,0.75
"78",39,2,1,50,16,93,50,50,50,TRUE,0.75,0.75
"79",40,1,1,50,80,61,50,50,50,TRUE,0.75,1.53
"80",40,2,1,50,21,40,50,50,50,TRUE,0.75,1.53
"81",41,1,1,50,78,78,50,50,50,TRUE,0.5,0
"82",41,2,1,50,23,23,50,50,50,TRUE,0.5,0
"83",42,1,1,50,51,26,50,50,51,TRUE,0.75,1.53
"84",42,2,1,50,50,75,50,50,51,TRUE,0.75,1.53
"85",43,1,1,50,44,22,50,50,50,TRUE,0.75,1.53
"86",43,2,1,50,57,79,50,50,50,TRUE,0.75,1.53
"87",44,1,1,50,68,67,51,51,50,TRUE,0.75,1.53
"88",44,2,1,50,33,34,51,51,50,TRUE,0.75,1.53
"89",45,1,1,50,64,19,50,50,50,TRUE,0.75,0.75
"90",45,2,1,50,37,82,50,50,50,TRUE,0.75,0.75
"91",46,1,1,51,16,93,50,50,50,TRUE,0.75,1.53
"92",46,2,1,51,85,8,50,50,50,TRUE,0.75,1.53
"93",47,1,1,50,58,50,50,50,50,FALSE,1,2.28
"94",47,2,1,50,43,50,50,50,50,FALSE,1,2.28
"95",48,1,1,50,21,40,50,50,50,TRUE,0.75,0.75
"96",48,2,1,50,80,61,50,50,50,TRUE,0.75,0.75
"97",49,1,1,50,55,55,50,50,50,TRUE,0.5,0
"98",49,2,1,50,45,45,50,50,50,TRUE,0.5,0
"99",50,1,1,50,60,30,50,50,50,TRUE,0.75,1.53
"100",50,2,1,50,41,71,50,50,50,TRUE,0.75,1.53
"101",51,1,1,50,42,21,50,50,50,TRUE,0.75,1.53
"102",51,2,1,50,59,80,50,50,50,TRUE,0.75,1.53
"103",52,1,1,50,65,18,50,50,50,TRUE,0.75,0.75
"104",52,2,1,50,36,83,50,50,50,TRUE,0.75,0.75
"105",53,1,1,51,24,51,51,51,50,FALSE,1,2.28
"106",53,2,1,51,77,51,51,51,50,FALSE,1,2.28
"107",54,1,1,51,23,39,51,51,51,TRUE,0.75,0.75
"108",54,2,1,51,78,62,51,51,51,TRUE,0.75,0.75
"109",55,1,1,50,58,72,50,50,50,TRUE,0.75,1.53
"110",55,2,1,50,43,29,50,50,50,TRUE,0.75,1.53
"111",56,1,1,50,92,55,50,50,50,TRUE,0.75,1.53
"112",56,2,1,50,9,46,50,50,50,TRUE,0.75,1.53
"113",57,1,1,50,80,21,50,50,50,TRUE,0.5,0
"114",57,2,1,50,21,80,50,50,50,TRUE,0.5,0
"115",58,1,1,50,60,80,50,50,51,TRUE,0.75,0.75
"116",58,2,1,50,41,21,50,50,51,TRUE,0.75,0.75
"117",59,1,1,50,77,50,50,50,50,FALSE,1,2.28
"118",59,2,1,50,24,50,50,50,50,FALSE,1,2.28
"119",60,1,1,50,95,50,50,50,50,FALSE,1,2.28
"120",60,2,1,50,6,50,50,50,50,FALSE,1,2.28
"121",61,1,1,50,16,8,50,50,50,TRUE,0.75,1.53
"122",61,2,1,50,85,93,50,50,50,TRUE,0.75,1.53
"123",62,1,1,50,56,28,50,50,50,TRUE,0.75,1.53
"124",62,2,1,50,45,73,50,50,50,TRUE,0.75,1.53
"125",63,1,1,50,75,50,50,50,50,FALSE,1,2.28
"126",63,2,1,50,26,50,50,50,50,FALSE,1,2.28
"127",64,1,1,50,9,46,50,50,50,TRUE,0.75,0.75
"128",64,2,1,50,92,55,50,50,50,TRUE,0.75,0.75
"129",65,1,1,50,33,33,50,50,50,TRUE,0.5,0
"130",65,2,1,50,68,68,50,50,50,TRUE,0.5,0
"131",66,1,1,50,10,10,50,50,50,TRUE,0.5,0
"132",66,2,1,50,90,90,50,50,50,TRUE,0.5,0
"133",67,1,1,50,95,48,50,50,50,TRUE,0.75,1.53
"134",67,2,1,50,6,53,50,50,50,TRUE,0.75,1.53
"135",68,1,1,50,63,50,50,50,50,FALSE,1,2.28
"136",68,2,1,50,38,50,50,50,50,FALSE,1,2.28
"137",69,1,1,50,20,50,50,50,50,FALSE,1,2.28
"138",69,2,1,50,81,50,50,50,50,FALSE,1,2.28
"139",70,1,1,50,33,84,50,50,50,TRUE,0.75,1.53
"140",70,2,1,50,68,17,50,50,50,TRUE,0.75,1.53
"141",71,1,1,50,79,79,50,50,50,TRUE,0.5,0
"142",71,2,1,50,22,22,50,50,50,TRUE,0.5,0
"143",72,1,1,50,43,43,50,50,50,TRUE,0.5,0
"144",72,2,1,50,58,58,50,50,50,TRUE,0.5,0
"145",73,1,1,50,82,19,50,50,50,TRUE,0.5,0
"146",73,2,1,50,19,82,50,50,50,TRUE,0.5,0
"147",74,1,1,51,36,33,51,51,51,TRUE,0.75,0.75
"148",74,2,1,51,65,68,51,51,51,TRUE,0.75,0.75
"149",75,1,1,50,32,66,50,50,50,TRUE,0.75,0.75
"150",75,2,1,50,69,35,50,50,50,TRUE,0.75,0.75
"151",76,1,1,50,55,73,50,50,50,TRUE,0.75,1.53
"152",76,2,1,50,46,28,50,50,50,TRUE,0.75,1.53
"153",77,1,1,50,38,63,50,50,50,TRUE,0.5,0
"154",77,2,1,50,63,38,50,50,50,TRUE,0.5,0
"155",78,1,1,50,28,87,50,50,50,TRUE,0.75,1.53
"156",78,2,1,50,73,14,50,50,50,TRUE,0.75,1.53
"157",79,1,1,50,8,4,50,50,50,TRUE,0.75,1.53
"158",79,2,1,50,93,97,50,50,50,TRUE,0.75,1.53
"159",80,1,1,50,52,26,51,51,50,TRUE,0.75,1.53
"160",80,2,1,50,49,75,51,51,50,TRUE,0.75,1.53
"161",81,1,1,50,51,76,50,50,50,TRUE,0.75,0.75
"162",81,2,1,50,50,25,50,50,50,TRUE,0.75,0.75
"163",82,1,1,50,61,70,50,50,50,TRUE,0.75,1.53
"164",82,2,1,50,40,31,50,50,50,TRUE,0.75,1.53
"165",83,1,1,50,20,91,50,50,50,TRUE,0.75,1.53
"166",83,2,1,50,81,10,50,50,50,TRUE,0.75,1.53
"167",84,1,1,50,69,32,50,50,50,TRUE,0.5,0
"168",84,2,1,50,32,69,50,50,50,TRUE,0.5,0
"169",85,1,1,50,71,50,50,50,50,FALSE,1,2.28
"170",85,2,1,50,30,50,50,50,50,FALSE,1,2.28
"171",86,1,1,50,62,70,51,51,50,TRUE,0.75,1.53
"172",86,2,1,50,39,31,51,51,50,TRUE,0.75,1.53
"173",87,1,1,50,28,28,50,50,50,TRUE,0.5,0
"174",87,2,1,50,73,73,50,50,50,TRUE,0.5,0
"175",88,1,1,50,96,98,50,50,50,TRUE,0.75,0.75
"176",88,2,1,50,5,3,50,50,50,TRUE,0.75,0.75
"177",89,1,1,51,4,99,51,51,51,TRUE,0.75,1.53
"178",89,2,1,51,97,2,51,51,51,TRUE,0.75,1.53
"179",90,1,1,50,7,50,50,50,50,FALSE,1,2.28
"180",90,2,1,50,94,50,50,50,50,FALSE,1,2.28
"181",91,1,1,51,68,17,51,51,51,TRUE,0.75,0.75
"182",91,2,1,51,33,84,51,51,51,TRUE,0.75,0.75
"183",92,1,1,50,38,69,50,50,50,TRUE,0.75,0.75
"184",92,2,1,50,63,32,50,50,50,TRUE,0.75,0.75
"185",93,1,1,50,45,45,50,50,50,TRUE,0.5,0
"186",93,2,1,50,56,56,50,50,50,TRUE,0.5,0
"187",94,1,1,50,33,84,50,50,50,TRUE,0.75,1.53
"188",94,2,1,50,68,17,50,50,50,TRUE,0.75,1.53
"189",95,1,1,50,48,27,50,50,50,TRUE,0.75,0.75
"190",95,2,1,50,53,74,50,50,50,TRUE,0.75,0.75
"191",96,1,1,50,22,79,50,50,50,TRUE,0.5,0
"192",96,2,1,50,79,22,50,50,50,TRUE,0.5,0
"193",97,1,1,50,25,13,50,50,50,TRUE,0.75,1.53
"194",97,2,1,50,75,88,50,50,50,TRUE,0.75,1.53
"195",98,1,1,50,44,50,50,50,50,FALSE,1,2.28
"196",98,2,1,50,57,50,50,50,50,FALSE,1,2.28
"197",99,1,1,50,65,36,50,50,50,TRUE,0.5,0
"198",99,2,1,50,36,65,50,50,50,TRUE,0.5,0
"199",100,1,1,50,85,93,50,50,50,TRUE,0.75,0.75
"200",100,2,1,50,16,8,50,50,50,TRUE,0.75,0.75
"201",101,1,1,50,7,50,50,50,50,FALSE,1,2.28
"202",101,2,1,50,94,50,50,50,50,FALSE,1,2.28
"203",102,1,1,50,86,50,50,50,50,FALSE,1,2.28
"204",102,2,1,50,15,50,50,50,50,FALSE,1,2.28
"205",103,1,1,50,43,79,50,50,50,TRUE,0.75,1.53
"206",103,2,1,50,58,22,50,50,50,TRUE,0.75,1.53
"207",104,1,1,50,50,75,50,50,50,TRUE,0.75,0.75
"208",104,2,1,50,50,25,50,50,50,TRUE,0.75,0.75
"209",105,1,1,51,26,13,51,51,51,TRUE,0.75,1.53
"210",105,2,1,51,76,88,51,51,51,TRUE,0.75,1.53
"211",106,1,1,50,29,86,50,50,50,TRUE,0.75,1.53
"212",106,2,1,50,72,15,50,50,50,TRUE,0.75,1.53
"213",107,1,1,50,76,38,50,50,50,TRUE,0.75,1.53
"214",107,2,1,50,25,63,50,50,50,TRUE,0.75,1.53
"215",108,1,1,50,90,5,50,50,50,TRUE,0.75,0.75
"216",108,2,1,50,10,95,50,50,50,TRUE,0.75,0.75
"217",109,1,1,50,68,68,50,50,50,TRUE,0.5,0
"218",109,2,1,50,33,33,50,50,50,TRUE,0.5,0
"219",110,1,1,50,75,75,50,50,50,TRUE,0.5,0
"220",110,2,1,50,25,25,50,50,50,TRUE,0.5,0
"221",111,1,1,50,84,42,50,50,50,TRUE,0.75,1.53
"222",111,2,1,50,17,59,50,50,50,TRUE,0.75,1.53
"223",112,1,1,50,64,19,50,50,51,TRUE,0.75,0.75
"224",112,2,1,50,37,82,50,50,51,TRUE,0.75,0.75
"225",113,1,1,50,49,76,50,50,50,TRUE,0.75,1.53
"226",113,2,1,50,52,25,50,50,50,TRUE,0.75,1.53
"227",114,1,1,50,31,66,50,50,50,TRUE,0.75,0.75
"228",114,2,1,50,70,35,50,50,50,TRUE,0.75,0.75
"229",115,1,1,50,31,16,50,50,50,TRUE,0.75,1.53
"230",115,2,1,50,70,85,50,50,50,TRUE,0.75,1.53
"231",116,1,1,51,76,26,51,51,51,TRUE,0.5,0
"232",116,2,1,51,26,76,51,51,51,TRUE,0.5,0
"233",117,1,1,50,25,50,50,50,50,FALSE,1,2.28
"234",117,2,1,50,75,50,50,50,50,FALSE,1,2.28
"235",118,1,1,50,50,50,50,50,50,FALSE,1,2.28
"236",118,2,1,50,50,50,50,50,50,FALSE,1,2.28
"237",119,1,1,50,56,73,50,50,50,TRUE,0.75,1.53
"238",119,2,1,50,45,28,50,50,50,TRUE,0.75,1.53
"239",120,1,1,50,8,47,50,50,50,TRUE,0.75,0.75
"240",120,2,1,50,93,54,50,50,50,TRUE,0.75,0.75
"241",121,1,1,50,76,50,50,50,50,FALSE,1,2.28
"242",121,2,1,50,25,50,50,50,50,FALSE,1,2.28
"243",122,1,1,50,43,22,50,50,50,TRUE,0.75,1.53
"244",122,2,1,50,58,79,50,50,50,TRUE,0.75,1.53
"245",123,1,1,50,58,22,50,50,50,TRUE,0.75,0.75
"246",123,2,1,50,43,79,50,50,50,TRUE,0.75,0.75
"247",124,1,1,51,57,57,51,51,51,TRUE,0.5,0
"248",124,2,1,51,44,44,51,51,51,TRUE,0.5,0
"249",125,1,1,50,30,30,50,50,50,TRUE,0.5,0
"250",125,2,1,50,71,71,50,50,50,TRUE,0.5,0
"251",126,1,1,50,2,100,50,50,50,TRUE,0.75,1.53
"252",126,2,1,50,99,1,50,50,50,TRUE,0.75,1.53
"253",127,1,1,50,11,90,50,50,50,TRUE,0.5,0
"254",127,2,1,50,90,11,50,50,50,TRUE,0.5,0
"255",128,1,1,50,21,50,50,50,50,FALSE,1,2.28
"256",128,2,1,50,80,50,50,50,50,FALSE,1,2.28
"257",129,1,1,50,71,50,50,50,50,FALSE,1,2.28
"258",129,2,1,50,30,50,50,50,50,FALSE,1,2.28
"259",130,1,1,50,75,13,50,50,50,TRUE,0.75,0.75
"260",130,2,1,50,26,88,50,50,50,TRUE,0.75,0.75
"261",131,1,1,50,25,38,50,50,50,TRUE,0.75,0.75
"262",131,2,1,50,75,63,50,50,50,TRUE,0.75,0.75
"263",132,1,1,50,65,68,50,50,50,TRUE,0.75,1.53
"264",132,2,1,50,36,33,50,50,50,TRUE,0.75,1.53
"265",133,1,1,50,93,54,50,50,50,TRUE,0.75,1.53
"266",133,2,1,50,8,47,50,50,50,TRUE,0.75,1.53
"267",134,1,1,50,33,67,50,50,50,TRUE,0.75,0.75
"268",134,2,1,50,68,34,50,50,50,TRUE,0.75,0.75
"269",135,1,1,50,30,36,50,50,50,TRUE,0.75,0.75
"270",135,2,1,50,71,65,50,50,50,TRUE,0.75,0.75
"271",136,1,1,50,48,48,50,50,50,TRUE,0.5,0
"272",136,2,1,50,53,53,50,50,50,TRUE,0.5,0
"273",137,1,1,50,23,23,50,50,50,TRUE,0.5,0
"274",137,2,1,50,78,78,50,50,50,TRUE,0.5,0
"275",138,1,1,50,64,50,50,50,50,FALSE,1,2.28
"276",138,2,1,50,37,50,50,50,50,FALSE,1,2.28
"277",139,1,1,50,75,75,50,50,50,TRUE,0.5,0
"278",139,2,1,50,25,25,50,50,50,TRUE,0.5,0
"279",140,1,1,50,85,58,50,50,50,TRUE,0.75,1.53
"280",140,2,1,50,15,43,50,50,50,TRUE,0.75,1.53
"281",141,1,1,50,87,44,50,50,50,TRUE,0.75,1.53
"282",141,2,1,50,14,57,50,50,50,TRUE,0.75,1.53
"283",142,1,1,50,80,60,50,50,50,TRUE,0.75,1.53
"284",142,2,1,50,20,40,50,50,50,TRUE,0.75,1.53
"285",143,1,1,50,35,35,50,50,50,TRUE,0.5,0
"286",143,2,1,50,66,66,50,50,50,TRUE,0.5,0
"287",144,1,1,50,43,79,50,50,50,TRUE,0.75,1.53
"288",144,2,1,50,58,22,50,50,50,TRUE,0.75,1.53
"289",145,1,1,50,7,7,50,50,50,TRUE,0.5,0
"290",145,2,1,50,94,94,50,50,50,TRUE,0.5,0
"291",146,1,1,50,14,57,50,50,50,TRUE,0.75,0.75
"292",146,2,1,50,87,44,50,50,50,TRUE,0.75,0.75
"293",147,1,1,51,82,19,51,51,51,TRUE,0.5,0
"294",147,2,1,51,19,82,51,51,51,TRUE,0.5,0
"295",148,1,1,50,13,50,50,50,50,FALSE,1,2.28
"296",148,2,1,50,88,50,50,50,50,FALSE,1,2.28
"297",149,1,1,50,66,18,50,50,50,TRUE,0.75,0.75
"298",149,2,1,50,35,83,50,50,50,TRUE,0.75,0.75
"299",150,1,1,50,35,68,50,50,50,TRUE,0.75,0.75
"300",150,2,1,50,66,33,50,50,50,TRUE,0.75,0.75
"301",151,1,1,50,27,14,51,51,50,TRUE,0.75,1.53
"302",151,2,1,50,74,87,51,51,50,TRUE,0.75,1.53
"303",152,1,1,50,18,83,50,50,50,TRUE,0.5,0
"304",152,2,1,50,83,18,50,50,50,TRUE,0.5,0
"305",153,1,1,50,49,49,50,50,50,TRUE,0.5,0
"306",153,2,1,50,52,52,50,50,50,TRUE,0.5,0
"307",154,1,1,51,21,81,51,51,51,TRUE,0.5,0
"308",154,2,1,51,81,21,51,51,51,TRUE,0.5,0
"309",155,1,1,50,85,16,50,50,50,TRUE,0.5,0
"310",155,2,1,50,16,85,50,50,50,TRUE,0.5,0
"311",156,1,1,51,25,63,50,50,50,TRUE,0.75,0.75
"312",156,2,1,51,76,38,50,50,50,TRUE,0.75,0.75
"313",157,1,1,50,70,85,50,50,50,TRUE,0.75,0.75
"314",157,2,1,50,30,15,50,50,50,TRUE,0.75,0.75
"315",158,1,1,50,10,10,50,50,50,TRUE,0.5,0
"316",158,2,1,50,90,90,50,50,50,TRUE,0.5,0
"317",159,1,1,50,43,72,50,50,50,TRUE,0.75,0.75
"318",159,2,1,50,58,29,50,50,50,TRUE,0.75,0.75
"319",160,1,1,50,36,33,50,50,50,TRUE,0.75,0.75
"320",160,2,1,50,65,68,50,50,50,TRUE,0.75,0.75
"321",161,1,1,50,38,82,50,50,50,TRUE,0.75,1.53
"322",161,2,1,50,63,19,50,50,50,TRUE,0.75,1.53
"323",162,1,1,50,48,77,50,50,50,TRUE,0.75,1.53
"324",162,2,1,50,53,24,50,50,50,TRUE,0.75,1.53
"325",163,1,1,50,32,35,50,50,50,TRUE,0.75,0.75
"326",163,2,1,50,69,66,50,50,50,TRUE,0.75,0.75
"327",164,1,1,50,62,62,50,50,50,TRUE,0.5,0
"328",164,2,1,50,39,39,50,50,50,TRUE,0.5,0
"329",165,1,1,50,55,73,50,50,50,TRUE,0.75,1.53
"330",165,2,1,50,46,28,50,50,50,TRUE,0.75,1.53
"331",166,1,1,50,36,68,50,50,50,TRUE,0.75,0.75
"332",166,2,1,50,65,33,50,50,50,TRUE,0.75,0.75
"333",167,1,1,50,59,42,50,50,50,TRUE,0.5,0
"334",167,2,1,50,42,59,50,50,50,TRUE,0.5,0
"335",168,1,1,50,52,50,50,50,50,FALSE,1,2.28
"336",168,2,1,50,49,50,50,50,50,FALSE,1,2.28
"337",169,1,1,50,25,50,50,50,50,FALSE,1,2.28
"338",169,2,1,50,75,50,50,50,50,FALSE,1,2.28
"339",170,1,1,50,90,55,50,50,50,TRUE,0.75,1.53
"340",170,2,1,50,10,45,50,50,50,TRUE,0.75,1.53
"341",171,1,1,50,20,40,50,50,50,TRUE,0.75,0.75
"342",171,2,1,50,80,60,50,50,50,TRUE,0.75,0.75
"343",172,1,1,50,61,61,50,50,50,TRUE,0.5,0
"344",172,2,1,50,40,40,50,50,50,TRUE,0.5,0
"345",173,1,1,51,84,92,50,50,50,TRUE,0.75,0.75
"346",173,2,1,51,17,9,50,50,50,TRUE,0.75,0.75
"347",174,1,1,50,91,50,50,50,50,FALSE,1,2.28
"348",174,2,1,50,10,50,50,50,50,FALSE,1,2.28
"349",175,1,1,50,30,86,50,50,50,TRUE,0.75,1.53
"350",175,2,1,50,71,15,50,50,50,TRUE,0.75,1.53
"351",176,1,1,50,75,63,50,50,50,TRUE,0.75,1.53
"352",176,2,1,50,26,38,50,50,50,TRUE,0.75,1.53
"353",177,1,1,50,27,50,50,50,50,FALSE,1,2.28
"354",177,2,1,50,74,50,50,50,50,FALSE,1,2.28
"355",178,1,1,50,75,63,50,50,50,TRUE,0.75,1.53
"356",178,2,1,50,25,38,50,50,50,TRUE,0.75,1.53
"357",179,1,1,50,55,50,50,50,50,FALSE,1,2.28
"358",179,2,1,50,46,50,50,50,50,FALSE,1,2.28
"359",180,1,1,50,19,10,50,50,50,TRUE,0.75,1.53
"360",180,2,1,50,82,91,50,50,50,TRUE,0.75,1.53
"361",181,1,1,50,78,89,51,51,50,TRUE,0.75,0.75
"362",181,2,1,50,23,12,51,51,50,TRUE,0.75,0.75
"363",182,1,1,50,17,84,50,50,50,TRUE,0.5,0
"364",182,2,1,50,84,17,50,50,50,TRUE,0.5,0
"365",183,1,1,50,29,50,50,50,50,FALSE,1,2.28
"366",183,2,1,50,72,50,50,50,50,FALSE,1,2.28
"367",184,1,1,50,70,15,50,50,50,TRUE,0.75,0.75
"368",184,2,1,50,30,85,50,50,50,TRUE,0.75,0.75
"369",185,1,1,50,24,12,50,50,50,TRUE,0.75,1.53
"370",185,2,1,50,77,89,50,50,50,TRUE,0.75,1.53
"371",186,1,1,50,36,68,50,50,50,TRUE,0.75,0.75
"372",186,2,1,50,65,33,50,50,50,TRUE,0.75,0.75
"373",187,1,1,50,46,78,50,50,50,TRUE,0.75,1.53
"374",187,2,1,50,55,23,50,50,50,TRUE,0.75,1.53
"375",188,1,1,50,46,55,50,50,50,TRUE,0.5,0
"376",188,2,1,50,55,46,50,50,50,TRUE,0.5,0
"377",189,1,1,50,74,87,50,50,50,TRUE,0.75,0.75
"378",189,2,1,50,27,14,50,50,50,TRUE,0.75,0.75
"379",190,1,1,50,40,40,50,50,50,TRUE,0.5,0
"380",190,2,1,50,60,60,50,50,50,TRUE,0.5,0
"381",191,1,1,50,11,11,50,50,50,TRUE,0.5,0
"382",191,2,1,50,90,90,50,50,50,TRUE,0.5,0
"383",192,1,1,50,19,10,50,50,50,TRUE,0.75,1.53
"384",192,2,1,50,82,91,50,50,50,TRUE,0.75,1.53
"385",193,1,1,50,57,29,50,50,50,TRUE,0.75,1.53
"386",193,2,1,50,44,72,50,50,50,TRUE,0.75,1.53
"387",194,1,1,50,28,64,50,50,50,TRUE,0.75,0.75
"388",194,2,1,50,73,37,50,50,50,TRUE,0.75,0.75
"389",195,1,1,50,48,24,50,50,50,TRUE,0.75,1.53
"390",195,2,1,50,53,77,50,50,50,TRUE,0.75,1.53
"391",196,1,1,51,5,96,51,51,51,TRUE,0.5,0
"392",196,2,1,51,96,5,51,51,51,TRUE,0.5,0
"393",197,1,1,50,25,88,50,50,50,TRUE,0.75,1.53
"394",197,2,1,50,76,13,50,50,50,TRUE,0.75,1.53
"395",198,1,1,51,83,42,51,51,50,TRUE,0.75,1.53
"396",198,2,1,51,18,59,51,51,50,TRUE,0.75,1.53
"397",199,1,1,50,10,95,50,50,50,TRUE,0.75,1.53
"398",199,2,1,50,90,5,50,50,50,TRUE,0.75,1.53
"399",200,1,1,50,64,69,50,50,50,TRUE,0.75,1.53
"400",200,2,1,50,37,32,50,50,50,TRUE,0.75,1.53
"401",201,1,1,50,15,43,50,50,50,TRUE,0.75,0.75
"402",201,2,1,50,85,58,50,50,50,TRUE,0.75,0.75
"403",202,1,1,50,80,80,50,50,50,TRUE,0.5,0
"404",202,2,1,50,21,21,50,50,50,TRUE,0.5,0
"405",203,1,1,50,76,50,50,50,50,FALSE,1,2.28
"406",203,2,1,50,25,50,50,50,50,FALSE,1,2.28
"407",204,1,1,50,72,50,50,50,50,FALSE,1,2.28
"408",204,2,1,50,29,50,50,50,50,FALSE,1,2.28
"409",205,1,1,50,58,58,50,50,50,TRUE,0.5,0
"410",205,2,1,50,43,43,50,50,50,TRUE,0.5,0
"411",206,1,1,50,46,50,50,50,50,FALSE,1,2.28
"412",206,2,1,50,55,50,50,50,50,FALSE,1,2.28
"413",207,1,1,50,39,81,50,50,50,TRUE,0.75,1.53
"414",207,2,1,50,62,20,50,50,50,TRUE,0.75,1.53
"415",208,1,1,51,34,67,50,50,51,TRUE,0.75,0.75
"416",208,2,1,51,67,34,50,50,51,TRUE,0.75,0.75
"417",209,1,1,50,24,24,50,50,50,TRUE,0.5,0
